Fiscal year,Diagnosis category,Sex,fiscal_year,value,ci_low,ci_high,sheet_type
2020–2021,Other disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,Other disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,Other disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   Eating and feeding disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   Eating and feeding disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   Eating and feeding disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   Tic disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   Tic disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   Tic disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   ADHD,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   ADHD,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2020–2021,   ADHD,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Neurocognitive disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Neurocognitive disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Neurocognitive disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Substance-related disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Substance-related disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Substance-related disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Mood disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Mood disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Mood disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Anxiety disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Anxiety disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Anxiety disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Personality disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Personality disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Personality disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Other disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Other disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,Other disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   Eating and feeding disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   Eating and feeding disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   Eating and feeding disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   Tic disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   Tic disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   Tic disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   ADHD,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   ADHD,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2021–2022,   ADHD,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Neurocognitive disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Neurocognitive disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Neurocognitive disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Substance-related disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Substance-related disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Substance-related disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Mood disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Mood disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Mood disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Anxiety disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Anxiety disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Anxiety disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Personality disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Personality disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Personality disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Other disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Other disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,Other disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   Eating and feeding disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   Eating and feeding disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   Eating and feeding disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   Tic disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   Tic disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   Tic disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   ADHD,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   ADHD,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2022–2023,   ADHD,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Neurocognitive disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Neurocognitive disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Neurocognitive disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Substance-related disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Substance-related disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Substance-related disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Mood disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Mood disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Mood disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Anxiety disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Anxiety disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Anxiety disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Personality disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Personality disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Personality disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Other disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Other disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,Other disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Female,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Male,Agegroup:18–24years–95%CI,,,,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Total,Agegroup:18–24years–95%CI,,,,Hospitalization
